program_target,program_day,program_type,A_average,B_average,loan_change
누구나,Thursday,독서·문예,573.42,612.25,38.83
초등,Wednesday,독서·문예,577.64,580.67,3.03
아동,Monday,예술감상·체험,577.18,679.42,102.24
아동,Monday,독서·문예,577.18,612.25,35.07
아동,Thursday,예술감상·체험,726.18,659.83,-66.35
성인,Wednesday,예술감상·체험,768,686.25,-81.75
아동,Wednesday,정보화·생활교육,768,686.25,-81.75
누구나,Monday,예술감상·체험,856.73,659.83,-196.9
초등,Monday,독서·문예,856.73,628.83,-227.9
누구나,Thursday,정보화·생활교육,915.64,612.25,-303.39
누구나,Thursday,예술감상·체험,915.64,612.25,-303.39
초등,Tuesday,예술감상·체험,698.67,768,69.33
초등,Monday,예술감상·체험,542.42,577.64,35.22
아동,Saturday,예술감상·체험,661.45,1020.5,359.05
초등,Monday,예술감상·체험,565.92,906.12,340.2
아동,Monday,예술감상·체험,565.92,1111.75,545.83
누구나,Monday,독서·문예,355.08,1020.5,665.42
아동,Sunday,독서·문예,353,577.64,224.64
